wavelength,CYP102-Trp,CYP102-His,CYP119-His,CYP119-Trp
400,0.00477729923968757,0.00499514296731985,0.00426154572393723,0.0130155930060489
401,0.00518533188673634,0.00625487922745718,0.00205807880590168,0.016362426895125
402,0.00591998768652616,0.00735717376226912,0.000647714796307308,0.0195079815856654
403,0.00699221354617959,0.00811108813270173,0,0.0224977839702839
404,0.00841296516489961,0.0101077475895691,0.0000857627687960903,0.0253763077155491
405,0.0101932070339697,0.0123004199452434,0.000877113501482278,0.028186973261984
406,0.0123439124367538,0.0137128789207214,0.00234744464381579,0.0309721478240664
407,0.0148760634486964,0.0155352253528239,0.00447143068852415,0.0337731453902288
408,0.0178006509373222,0.01777238159879,0.00722502817530542,0.0366302267228581
409,0.0211286745622367,0.018759097754388,0.0105854756908281,0.0395825993582962
410,0.0248711427751257,0.0195020094447514,0.0145312938687309,0.0426684176068393
411,0.0290390728197555,0.0228759370373657,0.0190422853896233,0.0459247825527384
412,0.0336434907319727,0.0243524619727119,0.0240995349810849,0.0493877420541993
413,0.0386954313397047,0.0262388993132496,0.029685409417666,0.0530922907433822
414,0.0442059382629591,0.0283823365448035,0.035783557520887,0.057072370026402
415,0.0501860639138241,0.0308994669780867,0.0423789101592391,0.0613608680833283
416,0.056673587847277,0.0341879998027579,0.0494576802481836,0.0659896198681854
417,0.0639745118090491,0.0378657479747838,0.0570073627501525,0.0709894071089521
418,0.0718127972832734,0.0415896005025694,0.0650167346745479,0.076389958307562
419,0.0797402936596345,0.0468800245288893,0.0734758550777427,0.0822199487399032
420,0.0880227506074398,0.0537627031726146,0.0823760650630799,0.0885070004558186
421,0.0971547575011062,0.0575827726131018,0.0917099877808733,0.0952776822791056
422,0.106776246660328,0.0652809414303165,0.101471528428407,0.102557509807516
423,0.116665434749908,0.0724163769487269,0.111655874249934,0.110370945412758
424,0.127951534550633,0.0802479254479578,0.122259494536682,0.118741398240491
425,0.139195068923048,0.0884359656603482,0.133280140626843,0.127691224210332
426,0.15152857416344,0.0985257888261295,0.144713032540289,0.136587487356343
427,0.163791435173221,0.109218371380836,0.156495491409652,0.145984835266855
428,0.176967251910691,0.118189018917034,0.168633122461357,0.15628429058162
429,0.191152921215365,0.129909458621077,0.181106497804081,0.167371318767892
430,0.205628723051279,0.144277474892617,0.19401155700298,0.179266169742374
431,0.220678505080413,0.156827222385127,0.207582599719054,0.191902392667748
432,0.236108419601949,0.1725412561589,0.221160814130642,0.205426292337784
433,0.252516857091597,0.189086236350593,0.235700375695343,0.219711902459014
434,0.270075196880241,0.206282121201086,0.250294843174532,0.234457900658632
435,0.288307516599422,0.220903595103543,0.266069828135637,0.250740731740013
436,0.306203270565404,0.238535104623988,0.281831026877384,0.267698775030998
