wavelength,0,8,15,22,29,35,41,46,52,61,70,85,98,109,118
390,333509.048067586,485776.557618143,614122.254868109,702618.686757391,779662.364635391,832035.183889543,889928.919239467,933903.386538286,966105.807537622,1041244.09166714,1072555.64753514,1113929.99318621,1144038.88829994,1154888.48108934,1171890
391,364780.502251762,521907.018534689,656247.29586122,745375.541822296,828214.73816499,889044.17801389,935147.06706286,986012.519437815,1011912.42963383,1098704.17223597,1135067.24303786,1170660.65262179,1202712.01636743,1199677.76183321,1216140
392,402824.716338821,565033.223346167,702995.827153152,789221.118614195,870466.941914983,940720.029595871,987695.074345944,1043860.0202477,1074647.38528124,1147140.30400452,1195004.09347002,1228899.16394254,1251498.09522873,1255980.07237604,1277570
393,444730.478525543,612390.135889699,758730.644635748,844140.514093544,928906.578128805,984511.560969669,1043801.85034598,1092734.72252873,1134156.02366865,1198605.17073789,1250361.32593129,1286643.24291295,1299022.49321659,1312652.46603001,1322110
394,493097.215138047,668747.323451939,812197.350002299,901487.976644174,980348.959698724,1061589.68875397,1114025.38318124,1164564.94867417,1190532.93967859,1259027.97532179,1311485.01960811,1342020.26734896,1374578.46968458,1376314.55133677,1387030
395,535742.574512474,718830.361292694,870564.634067321,982014.559275975,1051393.0562551,1114327.2398777,1180004.96203229,1224725.73858827,1250589.15370959,1323392.56023996,1376787.22484037,1403241.45935774,1431251.93665062,1423117.9224879,1446880
396,604510.302486765,788741.66675183,943787.326876296,1045466.41642661,1132313.78125427,1197365.92607801,1256529.22515881,1299668.1227421,1345118.2498694,1409616.41670584,1457234.63181177,1482352.38172479,1509924.06978772,1501136.04910903,1509620
397,670783.734097852,865278.968751033,1007557.4144508,1120398.35970717,1199118.46395838,1270734.47854073,1330511.60906787,1375099.27139799,1405370.21149616,1488249.7652856,1532856.67803095,1558305.72232455,1584419.40490125,1564146.08034249,1574860
398,752093.719923969,942320.286471347,1098523.93552912,1204466.07263122,1277525.90897092,1356299.7821449,1412356.02176249,1467781.26837087,1496827.21433543,1570762.41546031,1614049.15326616,1632542.34982425,1643413.38334848,1622258.46745923,1650620
399,835355.640936156,1029274.96901853,1189390.10161365,1293568.29206792,1369747.22596038,1436336.60796739,1508782.40306742,1555286.70984313,1580067.48142256,1646290.80920953,1682847.91206602,1703993.38889311,1721114.14131507,1700943.72971212,1717940
400,913735.116258145,1119760.48679107,1275915.76408423,1383047.48396756,1463680.14079459,1537444.89038388,1582754.57611993,1634893.07954196,1666234.5277905,1726623.14917855,1770447.072916,1782198.92954807,1804840.65230682,1773871.74874676,1781350
401,1018915.14764467,1215449.09903789,1379521.02864087,1474858.85584042,1552767.18787155,1634797.37228058,1689536.84160266,1731279.36061639,1742443.13164739,1807626.24499564,1864203.07269569,1858773.01134228,1869211.90800842,1833714.841844,1853650
