wavelength,0,2,4,6,8,10,14,20
390,224983.435394639,214269.938471085,208584.520400733,195289.644889231,192206.466638735,184251.054726297,176975.335998363,157184.880771478
391,257395.191244527,245138.27737574,238633.801750874,223423.628526997,219896.278817738,210794.787558885,202470.908024674,179829.383331955
392,289090.561335275,275324.344128833,268018.914293519,250935.776516015,246974.072715159,236751.833502809,227402.960295826,201973.382333407
393,317720.470484415,302590.924270871,294562.005603841,275787.049593694,271433.000849543,260198.408350394,249923.675131495,221975.694273448
394,359622.154325211,342497.289833534,333409.499476378,312158.460418568,307230.19002094,294513.954421295,282884.166483289,251250.343614129
395,405735.589755887,386414.847386559,376161.75275434,352185.746934496,346625.536941289,332278.730749168,319157.684642827,283467.537015144
396,451863.178574493,430345.88435666,418927.127787815,392225.318844228,386032.975297081,370055.098048836,355442.336069043,315694.618693448
397,506583.963550158,482460.917666817,469659.345784575,439723.938674674,432781.700212859,414868.896582635,398486.52414527,353925.344644602
398,561998.054860943,535236.242724708,521034.335410936,487824.360801131,480122.726338448,460250.481021517,442076.077356457,392640.449694301
399,634141.812822035,603944.583640034,587919.575774634,550446.432726041,541756.138520188,519332.890679515,498825.436627967,443043.751491295
400,687467.048984178,654730.522842074,637357.965719324,596733.691232305,587312.626745301,563003.799114037,540771.865130285,480299.476000767
401,764508.731020728,728103.553353074,708784.123250753,663607.248835318,653130.40333928,626097.382640412,601374.004751727,534124.716886202
402,846561.77628201,806249.310744771,784856.36858394,734830.759326427,723229.456982743,693295.04146528,665918.157654951,591451.151224392
403,916829.388108686,873170.845817796,850002.214040798,795824.302858978,783260.051522546,750840.973988949,721191.712310277,640543.681826473
404,1002628.21203459,954884.011461519,929547.210356376,870299.216209882,856559.175787544,821106.252741116,788682.350747359,700487.107819018
405,1094870.06297718,1042733.3933116,1015065.60510391,950366.79222011,935362.66731923,896648.073392335,861241.170622431,764931.96046836
406,1199764.43731343,1142632.79744136,1112314.28799154,1041416.98477795,1024975.38492258,982551.727020918,943752.654678733,838216.510038518
407,1281887.66359911,1220845.39390392,1188451.59889406,1112701.41365315,1095134.39518775,1049806.8608672,1008352.01302564,895591.976412925
