wavelength,raw,Smoothed Y1,Subtracted_Data Y1,Normalized1
,,50 pts SG smooth of B,"Subtracted from ""Smoothed Y1""","Divided by Max of ""Subtracted_Data Y1"""
515,3.22232875333902,3.24166925743876,2.74113136423132,0.574915444189128
516,3.30437511144159,3.33582290019219,2.8352391777082,0.594653292616505
517,3.47486084723773,3.42930536498258,2.92867581322203,0.614250370491333
518,3.58577621304416,3.5230078885498,3.02233250751271,0.633893602735516
519,3.581099072698,3.61494425398731,3.11422304367366,0.653166407061173
520,3.64585681570281,3.70868171657103,3.20791467698083,0.672816967294247
521,3.82823079493759,3.79673327914142,3.29592041027467,0.691274986456713
522,3.84844053539004,3.88771671614591,3.38685801800261,0.710347926857387
523,3.97047438387064,3.97697445200003,3.47606992458018,0.729058924646939
524,4.11503879284638,4.06361375055593,3.56266339385953,0.747220740422804
525,4.14448991253428,4.14798197506977,3.64698578909682,0.764906228957037
526,4.24406879922173,4.23198887259602,3.73094685734652,0.782515934014316
527,4.31257860093649,4.3145977237211,3.81350987919504,0.799832417638205
528,4.41995135117215,4.39255271844186,3.89141904463926,0.816172817460789
529,4.48946045186415,4.47149376940088,3.97031426632172,0.83272002932004
530,4.50584065264407,4.54450099003,4.0432756576743,0.848022700058655
531,4.56444773604387,4.61305586656024,4.11178470492798,0.862391551492329
532,4.65647774383656,4.68014813933446,4.17883114842565,0.876453641455528
533,4.69288144291464,4.74520345185394,4.24384063166858,0.890088506395901
534,4.88630751896495,4.80993941466926,4.30853076520735,0.903656392030059
535,4.85030673986336,4.86826065405471,4.36680617531625,0.915878875682337
536,4.98462588361431,4.9223419103934,4.42084160237839,0.92721207990478
537,4.97299895018244,4.97051861417719,4.46897247688563,0.937306883626198
538,5.00664942698761,5.01832710365136,4.51673513708325,0.947324459347481
539,4.99694761156084,5.06215600986823,4.56051821402357,0.956507370993224
540,5.16372604292795,5.09910876873967,4.59742514361846,0.964248103195474
541,5.16567300498468,5.13946289675866,4.6377334423609,0.972702226838875
542,5.14865874310174,5.17055173111734,4.66877644744303,0.979213079725623
543,5.20871227360804,5.19580044642233,4.69397933347146,0.984499046171798
544,5.17693456488641,5.21458106572717,4.71271412349975,0.988428416457167
545,5.3218218995272,5.23225548867503,4.73034271717106,0.992125776931465
546,5.15335511305664,5.24830602546024,4.74634742467972,0.995482549119231
547,5.31066296455405,5.2569661820226,4.75496175196553,0.997289288432251
548,5.25117911483613,5.26612117114977,4.76407091181615,0.999199812221823
549,5.25845139866764,5.26790767679193,4.76581158818176,0.999564895682975
550,5.24540319629663,5.27002803390064,4.76788611601392,1
551,5.25195622218537,5.2625000503969,4.76031230323363,0.998411494612915
552,5.29118699096458,5.2525976181088,4.75036404166898,0.996324980522062
553,5.21571510509414,5.23978355258894,4.73750414687256,0.993627790513008
554,5.29542763462147,5.22278308218766,4.72045784719473,0.990052558373849
555,5.18191735511372,5.20180076909027,4.69942970482079,0.98564218827224
556,5.13956548322146,5.18004880387504,4.67763191032901,0.981070393988277
557,5.09748422102074,5.15869021652888,4.6562274937063,0.976581105422676
558,5.12382931290902,5.13124078718407,4.62873223508494,0.970814344650221
559,5.19270439108028,5.10496708625031,4.60241270487463,0.965294177102193
560,5.09034876096025,5.0697555001797,4.56715528952747,0.957899408332709
561,5.04359974799847,5.03309607486414,4.53045003493536,0.950200974750407
562,4.93776897637551,4.99198812147074,4.48929625226541,0.941569522222267
563,4.91067640584362,4.95056592787651,4.44782822939462,0.932872162037529
564,4.89922646651498,4.90643513967708,4.40365161191865,0.923606710556295
565,4.81962331137658,4.86298961286954,4.36016025583455,0.914484983437433
566,4.93887193052242,4.81713168670835,4.31425650039682,0.904857287993206
567,4.75123403081701,4.76120772978094,4.25828671419285,0.893118377951715
568,4.72644694541939,4.70688816583094,4.2039213209663,0.881715967763276
569,4.65605806904252,4.65346411753599,4.1504514433948,0.870501379941661
570,4.58870979894094,4.59967873544274,4.096620232025,0.859211007214635
571,4.53967724276181,4.54057633393483,4.03747200124054,0.84680546116231
572,4.46362541109211,4.48698211796952,3.98383195599868,0.835555182960047
573,4.45069912298482,4.42744093801304,3.92424494676565,0.823057609028301
574,4.30376937704155,4.36769071498712,3.86444889446317,0.8105161911237
575,4.4408526655045,4.30971450477848,3.80642685497798,0.798346848552721
576,4.19377413024205,4.24878645000831,3.74545297093127,0.785558396277838
577,4.16043975709658,4.18601833371679,3.68263902536319,0.772384015841799
578,4.09267903882035,4.12284576530451,3.61942062767436,0.759124807012021
579,4.0378021875246,4.06159227278712,3.55812130588042,0.746268098545757
580,3.95912482745987,3.99442804884934,3.49091125266609,0.732171693644518
581,3.89653546659921,3.92794323202424,3.42438060656444,0.718217785249307
582,3.907136498281,3.86036607653275,3.3567576217964,0.704034773507286
